time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
8.7500,0.585080,0.395233,1.068475,0.919954,1.000000,0.725722,0.605507
8.8000,0.614937,0.423722,1.072846,0.916709,1.000000,0.712952,0.630480
8.8500,0.644284,0.451788,1.077868,0.913760,1.000000,0.700790,0.647635
8.9000,0.672891,0.478768,1.083484,0.911094,1.000000,0.689522,0.656859
8.9500,0.700551,0.504051,1.089637,0.908714,1.000000,0.679357,0.658287
9.0000,0.727089,0.527101,1.096274,0.906629,1.000000,0.670440,0.652270
9.0500,0.752357,0.547465,1.103348,0.904857,1.000000,0.662867,0.639351
9.1000,0.776242,0.564781,1.110813,0.903421,1.000000,0.656693,0.620225
9.1500,0.798660,0.578782,1.118629,0.902348,1.000000,0.651945,0.595704
9.2000,0.819558,0.589298,1.126761,0.901668,1.000000,0.648627,0.566674
9.2500,0.838910,0.596251,1.135179,0.901411,1.000000,0.646729,0.534060
9.3000,0.856717,0.599648,1.143856,0.901609,1.000000,0.646226,0.498791
9.3500,0.873003,0.599577,1.152770,0.902295,1.000000,0.647089,0.461767
9.4000,0.887811,0.596191,1.161902,0.903502,1.000000,0.649280,0.423835
9.4500,0.901199,0.589702,1.171238,0.905260,1.000000,0.652756,0.385766
9.5000,0.913239,0.580368,1.180762,0.907600,1.000000,0.657474,0.348240
9.5500,0.924012,0.568480,1.190404,0.910508,1.000000,0.663383,0.311841
9.6000,0.933604,0.554349,1.199845,0.913783,1.000000,0.670434,0.277043
9.6500,0.942108,0.538299,1.209102,0.917473,1.000000,0.678573,0.244220
9.7000,0.949613,0.520658,1.218194,0.921621,1.000000,0.687744,0.213644
9.7500,0.956212,0.501744,1.227138,0.926268,1.000000,0.697888,0.185492
9.8000,0.961992,0.481864,1.235951,0.931453,1.000000,0.708944,0.159858
9.8500,0.967039,0.461305,1.244648,0.937207,1.000000,0.720847,0.136765
9.9000,0.971432,0.440332,1.253242,0.943561,1.000000,0.733533,0.116170
9.9500,0.975244,0.419183,1.261743,0.950541,1.000000,0.746932,0.097983
10.0000,0.978546,0.398070,1.270162,0.958168,1.000000,0.760974,0.082074
10.0500,0.981399,0.377175,1.278504,0.966458,1.000000,0.775586,0.068287
10.1000,0.983860,0.356655,1.286776,0.975423,1.000000,0.790697,0.056447
10.1500,0.985980,0.336638,1.294981,0.985070,1.000000,0.806231,0.046368
10.2000,0.987803,0.317228,1.303120,0.995400,1.000000,0.822117,0.037865
10.2500,0.989371,0.298506,1.311192,1.006413,1.000000,0.838280,0.030752
10.3000,0.990718,0.280531,1.319196,1.018099,1.000000,0.854650,0.024855
10.3500,0.991874,0.263346,1.327130,1.030447,1.000000,0.871157,0.020006
10.4000,0.992868,0.246975,1.334990,1.043440,1.000000,0.887734,0.016056
10.4500,0.993721,0.231430,1.342771,1.057058,1.000000,0.904317,0.012864
